GOOGL.O,UK 'Google tax' will target inter-company payments LONDON, Dec 9 A new British tax on companies that shift profits out of the country and into tax havens will target inter-company fees for services like use of intellectual property, according to a Treasury document seen by Reuters. ~UK 'Google tax' will target inter-company payments LONDON A new British tax on companies that shift profits out of the country and into tax havens will target inter-company fees for services like use of intellectual property, according to a Treasury document seen by Reuters. ~
GS,Market Chatter- Corporate finance press digest Dec 10 The following corporate finance-related stories were reported by media: ~
LMT,UPDATE 1-Canada to continue in F-35 fighter program but outlines risks OTTAWA, Dec 10 Canada will stay part of Lockheed Martin Corp's F-35 Joint Strike Fighter program while a decision is made on whether to actually buy the plane, the government said on Wednesday. ~Under pressure, Lockheed opens up about secret weapons unit PALMDALE, Calif. Lockheed Martin Corp, the Pentagon's No. 1 weapons supplier, has rarely felt the need to blow its horn about its secrecy-shrouded crown jewel - until now. ~Factbox: Lockheed's Skunk Works behind many U.S. military aircraft PALMDALE, Calif. Lockheed Martin Corp's Skunk Works was the driving force behind development of many well-known U.S. military aircraft, including the famed "Blackbird" or SR-71 spy plane that could fly from New York to Los Angeles in just over an hour. ~Under pressure, Lockheed opens up about secret weapons unit PALMDALE, Calif., Dec 10 Lockheed Martin Corp , the Pentagon's No. 1 weapons supplier, has rarely felt the need to blow its horn about its secrecy-shrouded crown jewel - until now. ~
MCD,UPDATE 3-McDonald's to pare U.S. menus, ingredient lists Dec 10 McDonald's Corp said on Wednesday it plans to cut the number of items on its U.S. menus and use fewer ingredients in food as it moves to speed up service, bolster sales and offer consumers personalized options to compete better with Subway and Chipotle Mexican Grill. ~CORRECTED-REFILE--McDonald's slimmer U.S. menu to debut next month-executives Dec 10 McDonald's Corp in January will cut eight food products and reduce the number of so-called Extra Value Meals on its U.S. menus in a bid to speed up service and bolster sales, Mike Andres, the company's U.S. president, said on Wednesday. ~Preview: Columbia at Kentucky When it comes to No. 1 Kentucky and its roster loaded with former McDonald's All-Americans, the only question is which one of their stars will dominate on a nightly basis. On Sunday, it was Karl-Anthony Towns, who scored a career-high 19 points while adding nine rebounds and four blocks in a lopsided win over Eastern Kentucky. The freshman forward looks to score in double figures for the fifth straight game Wednesday when the Wildcats host Columbia. ~Yum Brands cuts profit forecast again on slow China recovery Yum Brands Inc  lowered its profit forecast for the year for the second time, hurt by slower-than-expected sales recovery in China following a food safety scare in July. ~
MET,MOVES-Metlife names Esther Lee as chief marketing officer Dec 10 Metlife Inc appointed Esther Lee as executive vice president and chief marketing office, effective Jan. 12, 2015. ~
MSFT.O,Microsoft exec sees autumn release for Windows 10 SEATTLE, Dec 10 Microsoft Corp expects to have its new Windows 10 operating system on the market by autumn 2015, slightly later than previous comments had suggested. ~Censors loom large over Sony's PlayStation China prospects SHANGHAI Sony Corp should fear China's censors almost as much as rival Microsoft Corp as it prepares to unveil the price and release date of its PlayStation 4 gaming console in the world's third-largest gaming market. ~Censors loom large over Sony's PlayStation China prospects SHANGHAI, Dec 11 Sony Corp should fear China's censors almost as much as rival Microsoft Corp  as it prepares to unveil the price and release date of its PlayStation 4 gaming console in the world's third-largest gaming market. ~
MS,Morgan Stanley fined $4 million over rule lapse U.S. regulators on Wednesday fined Morgan Stanley  $4 million for failing to enforce rules that would have prevented the unauthorized buying of Apple Inc  shares by a trader at one of the bank's customer trading firms that led to the demise of that firm. ~UPDATE 1-Morgan Stanley fined $4 million over rule lapse (Adds comment from Morgan Stanley and the SEC, as well as background on the fraud case) ~Morgan Stanley fined $4 mln for market access violation NEW YORK, Dec 10 U.S. regulators said on Wednesday they fined Morgan Stanley $4 million for failing to have rules in place to prevent a trader at one of the bank's customer trading firms from fraudulently buying Apple Inc  shares, leading to the demise of the trading firm. ~
NFLX.O,A Minute With: Lorenzo Richelmy on 'Marco Polo,' learning English LOS ANGELES, Dec 10 When Italian actor Lorenzo Richelmy stepped into the lead role of Netflix Inc's historical series "Marco Polo," he faced one major hurdle. He did not speak English. ~
DIS,UPDATE 3-New Luxembourg leaks reveal Disney, Koch Industries tax deals LONDON, Dec 10 Walt Disney Co, commodities group Koch Industries and others agreed deals in Luxembourg that could have delivered huge tax savings, a group of investigative journalists has reported, heightening an international debate on corporate tax avoidance. ~New Luxembourg leaks reveal Disney, Koch Industries tax deals LONDON Tax deals that entertainment firm Walt Disney Co, commodities group Koch Industries and others agreed with the Luxembourg authorities were revealed on Tuesday by the International Consortium of Investigative Journalists (ICIJ). ~
UTX,New United Tech CEO to take stage amid Wall St break-up talk Dec 10 The change atop United Technologies Corp  has set off speculation the U.S. conglomerate may eventually shake up its diverse industrial businesses, including possibly divesting its Sikorsky helicopter unit. ~
VZ,U.S. manufacturers group opposes stricter Internet regulations WASHINGTON, Dec 10 The U.S. National Association of Manufacturers on Wednesday wrote to congressional and Federal Communications Commission leaders to oppose potential stricter regulations for Internet service providers. ~
WMT,UPDATE 2-Wal-Mart names new U.S. COO in latest management shuffle (Adds details on new COO, analyst comment, context on recent management changes) ~Wal-Mart Stores names Judith Mckenna as U.S. operations COO Dec 10 Wal-Mart Stores Inc named company veteran Judith McKenna, chief operating officer of Walmart U.S. as the company looks to grow small format stores. ~
