AET,UPDATE 5-Pfizer, Allergan drug merger talks raise tax hackles in U.S. Oct 29 Pfizer Inc, the No. 1 U.S. drugmaker, and Botox maker Allergan Plc said they were in friendly talks to create a pharmaceutical colossus but the prospect that the company would seek to avoid U.S. taxes sounded political alarm bells. ~UPDATE 3-Aetna raises forecast as government plans expand * Shares rise as much as 4.4 percent to $116.07   (Adds comments from CEO, analysts; updates shares) ~Health insurer Aetna revenue rises Oct 29 Health insurer Aetna Inc reported a 1.5 percent increase in quarterly revenue, helped by membership growth in its government business. ~
XOM,Clinton says Justice Department should probe Exxon over climate change data BERLIN, N.H. U.S. Democratic presidential candidate Hillary Clinton said on Thursday she believes the U.S. Justice Department should investigate the failure of Exxon Mobil Corp's to disclose data related to climate change. ~Clinton says Justice Dept should probe Exxon over climate change data BERLIN, N.H., Oct 29 U.S. Democratic presidential candidate Hillary Clinton said on Thursday she believes the U.S. Justice Department should investigate the failure of Exxon Mobil Corp's to disclose data related to climate change. ~UPDATE 1-Equatorial Guinea to launch new bidding round for offshore blocks in 2016 CAPE TOWN, Oct 29 Equatorial Guinea will launch a new bidding round for all remaining deep and ultra-deep water blocks next year, the energy minister said on Thursday. ~UPDATE 1-PBF Energy expects significant slowdown in East Coast rail volumes -CEO NEW YORK, Oct 29 PBF Energy expects rail volumes of Bakken crude oil at its East Coast refineries to drop significantly next year, calling rail deliveries "price challenged," the company said on Thursday. ~BRIEF-Russia's Rosneft: gas prevails in forecast for Mozambique blocks Oct 29 Rosneft said in a written reply to Reuters: ~UPDATE 1-Exxon, Eni, Sasol win rights to explore Mozambique's oil and gas reserves MAPUTO, Oct 29 Mozambique's state oil company awarded lucrative exploration rights for fossil fuels off its Indian Ocean coastline on Thursday, with energy giants Exxon Mobil, Italy's Eni and South Africa's Sasol  among the winners. ~UPDATE 1-Exxon allocates $1 bln to expand Rotterdam hydrocracker AMSTERDAM, Oct 29 ExxonMobil said on Thursday it would invest more than $1 billion to expand the hydrocracker operations at its Rotterdam refinery, giving it the capacity to make more high-performance lubricating oils and greases. ~BRIEF-Oil firm Statoil to explore off coast of South Africa * has completed a farm-in transaction with ExxonMobil  Exploration and Production South Africa Limited, acquiring a 35 percent interest in the ER 12/3/154 Tugela South Exploration Right. ~Exxon to expand Rotterdam refinery hydrocracker AMSTERDAM, Oct 29 ExxonMobil said on Thursday it would expand the hydrocracker operations at its Rotterdam refinery to give it the capacity to make more high-performance lubricating oils and greases. ~
GE,CORRECTED-Safran exploring sale of security unit Morpho Detection - sources LONDON/PARIS, Oct 29 French aerospace and defence group Safran is considering a potential sale of its Morpho Detection unit, four sources told Reuters on Thursday, triggered by an unsolicited approach from an industrial player. ~
GM,UPDATE 1-Federal monitor for GM appointed in ignition switch settlement NEW YORK, Oct 29 A former top prosecutor in New York City has been appointed as the federal monitor for General Motors Co following its agreement last month to pay $900 million to end a U.S. criminal probe over a lethal defect in its vehicle ignition switches. ~Federal monitor for GM appointed in ignition switch settlement NEW YORK A former top prosecutor in Manhattan has been appointed as the federal monitor for General Motors Co following its agreement last month to pay $900 million to end a U.S. criminal probe over a lethal defect in its vehicle ignition switches. ~Federal monitor for GM appointed in ignition switch settlement NEW YORK, Oct 29 A former top prosecutor in Manhattan has been appointed as the federal monitor for General Motors Co following its agreement last month to pay $900 million to end a U.S. criminal probe over a lethal defect in its vehicle ignition switches. ~UPDATE 1-As LG Elec profit skids, home appliance lift cushions smartphone losses SEOUL, Oct 29 South Korea's LG Electronics Inc  reported a 37 percent slide in quarterly profit as its mobile device business lost money, but still beat market expectations on strong home appliances earnings and sales of high-end televisions. ~
GT.O,UPDATE 1-Goodyear revenue misses estimates due to a strong dollar Oct 29 Goodyear Tire & Rubber Co, the largest U.S. tire maker, reported a steeper-than-expected fall in quarterly revenue, hurt by a strong dollar. ~Goodyear revenue drops 10 pct Oct 29 Goodyear Tire & Rubber Co, the largest U.S. tire maker, reported a 10.2 percent fall in quarterly revenue, hurt by a strong dollar. ~
HRL,UPDATE 1-Hormel Foods issues limited U.S. recall of Skippy peanut butter NEW YORK, Oct 29 Hormel Foods Corp said on Thursday that it was voluntarily recalling a limited number of jars of its Skippy peanut butter in seven U.S. states because they might contain small pieces of metal shavings. ~Hormel Foods issues limited U.S. recall of Skippy peanut butter NEW YORK, Oct 29 Hormel Foods Corp said on Thursday that it was voluntarily recalling a limited number of jars of its Skippy peanut butter in seven U.S. states because they might contain small pieces of metal shavings. ~
HUM,UPDATE 5-Pfizer, Allergan drug merger talks raise tax hackles in U.S. Oct 29 Pfizer Inc, the No. 1 U.S. drugmaker, and Botox maker Allergan Plc said they were in friendly talks to create a pharmaceutical colossus but the prospect that the company would seek to avoid U.S. taxes sounded political alarm bells. ~
INTC.O,Raytheon to buy Intel's Stonesoft: report Oct 29 Raytheon Co's Websense unit is buying Intel Corp's Finnish cybersecurity arm, Stonesoft, according to news media reports. ~
IBM,UPDATE 1-Deutsche Post shares drop after IT delays cause earnings shortfall * Shares drop 3 pct, biggest DAX decliner   (Adds details from CFO, shares) ~
JCI,UPDATE 2-Johnson Controls profit beats expectations, revenue slips Oct 29 Johnson Controls Inc, which makes automotive batteries and heating and ventilation equipment, beat Wall Street's earnings expectations on Thursday but revenue slid due to unfavorable currency exchange rates and the sale of a business unit. ~CORRECTED-UPDATE 1-Johnson Controls' unit sale slashes net income; EPS rises Oct 29 Johnson Controls Inc, which makes automotive batteries and building heating and cooling units, posted lower net income from continuing operations for the fiscal fourth quarter on Thursday, largely due to the sale of a business segment. ~CORRECTED-Johnson Controls quarterly income rises Oct 29 Johnson Controls Inc., which makes automotive batteries and building heating and cooling units, reported a higher quarterly net profit on Thursday. ~
JPM,JPMorgan to pay Parmalat $47 million to settle dispute MILAN Parmalat will receive 43 million euros ($47 million)from U.S. bank JPMorgan to settle a legal dispute stemming from the 2003 bankruptcy of the Italian dairy group. ~JPMorgan to pay Parmalat 43 mln euros to settle dispute MILAN, Oct 29 Parmalat will receive 43 million euros ($47 million)from U.S. bank JPMorgan to settle a legal dispute stemming from the 2003 bankruptcy of the Italian dairy group. ~
KEY,UPDATE 1-KeyCorp in talks to buy First Niagara Financial-sources Oct 29 Cleveland-based KeyCorp is in advanced talks to buy Buffalo-based First Niagara Financial Group Inc, according to sources familiar with the matter, the latest example of a consolidation push among regional U.S. banks. ~
LMT,UPDATE 1-Lockheed promotes Babione to head F-35 fighter jet program WASHINGTON, Oct 29 Lockheed Martin Corp  on Thursday said Jeff Babione would head the company's F-35 fighter jet program, the Pentagon's single largest arms project, effective Jan. 1. ~Lockheed names new leader for F-35 fighter jet program WASHINGTON, Oct 29 Lockheed Martin Corp  on Thursday said Jeff Babione would head the company's F-35 fighter jet program, effective Jan. 1, succeeding Lorraine Martin, who will take over as deputy executive vice president of Lockheed's Missions Systems and Training business, a newly created position. ~
MRO,UPDATE 1-Marathon Oil slashes dividend, capex to save cash Oct 29 U.S. oil producer Marathon Oil Corp  on Thursday said it is slashing its quarterly dividend 76 percent and further  reducing capital expenditures to preserve cash on hand as it tries to withstand a prolonged crude price slump. ~Marathon Oil slashes dividend to save cash amid oil slump Oct 29 Oil producer Marathon Oil Corp  said it is cutting its quarterly dividend to 5 cents per share from 21 cents, to shore up finances amid a prolonged crude price slump. ~
MPC,UPDATE 1-Marathon Petroleum scraps oil upgrader plans for Louisiana refinery Oct 29 U.S. refiner Marathon Petroleum Corp  said it would cancel a planned expansion project at its 522,000-barrel-per-day Garyville, Louisiana refinery. ~Refiner Marathon Petroleum's profit jumps more than 40 pct Oct 29 Refiner Marathon Petroleum Corp's  quarterly profit rose more than 40 percent, helped by strong demand for refined products and low crude costs. ~
MA,UPDATE 1-MasterCard beats profit estimates as customers spend more Oct 29 Payments network operator MasterCard Inc  reported a bigger-than-expected quarterly profit as the value of  transactions processed on its cards jumped 13 percent. ~MasterCard reports a fall in profit due to higher costs Oct 29 Payments network operator MasterCard Inc  reported a 3.8 percent drop in quarterly profit, as operating expenses rose 8.5 percent. ~
MCK,McKesson plays up alternatives as Rite Aid deal hangs in balance Oct 29 With a lucrative supply deal hanging in the balance, drug distributor McKesson Corp moved to reassure investors on Thursday by announcing its retention of a contract with Omnicare, a supplier of prescription medicines to nursing homes. ~
PFE,Pfizer-Allergan sparks fresh tax inversion angst on Capitol Hill WASHINGTON Pfizer Inc faces political risks in Washington if it proceeds with a bid for Allergan, but with little chance of legislation to curb such tax inversion deals, the Obama administration may be able to throw up only limited obstacles. ~Pfizer-Allergan sparks fresh tax inversion angst on Capitol Hill WASHINGTON, Oct 29 Pfizer Inc faces political risks in Washington if it proceeds with a bid for Allergan, but with little chance of legislation to curb such tax inversion deals, the Obama administration may be able to throw up only limited obstacles. ~Wall St. slips on tech results, chances of Fed hike U.S. stocks ended slightly lower on Thursday as the market digested disappointing tech earnings reports and the potential for an interest rate hike in December. ~US STOCKS-Wall St slips on tech results, chances of Fed hike * Indexes down: Dow .13 pct, S&P; .04 pct, Nasdaq .42 pct   (Updates close with Valeant down after the bell; LinkedIn up) ~UPDATE 5-Pfizer, Allergan drug merger talks raise tax hackles in U.S. Oct 29 Pfizer Inc, the No. 1 U.S. drugmaker, and Botox maker Allergan Plc said they were in friendly talks to create a pharmaceutical colossus but the prospect that the company would seek to avoid U.S. taxes sounded political alarm bells. ~US STOCKS-Wall St ticks down as investors digest Fed, earnings * Indexes down: Dow .13 pct, S&P; .04 pct, Nasdaq .42 pct   (Updates to close) ~US STOCKS-Wall St slips with eye on Fed rate hike in Dec * Indexes down: Dow 0.2 pct, S&P; 0.11 pct, Nasdaq 0.36 pct   (Updates to late afternoon) ~UPDATE 3-Pfizer, Allergan in talks to forge world's biggest drugmaker   ~US STOCKS-Wall St lower as Fed puts Dec rate hike in play * Indexes down: Dow 0.26 pct, S&P; 0.13 pct, Nasdaq 0.34 pct   (Updates to early afternoon) ~
RTN,Raytheon to buy Intel's Stonesoft: report Oct 29 Raytheon Co's Websense unit is buying Intel Corp's Finnish cybersecurity arm, Stonesoft, according to news media reports. ~U.S. approves sale of 'smart bomb' kits to Turkey WASHINGTON The U.S. State Department has approved the sale of precision bomb kits valued at $70 million to Turkey, a member of NATO and a key part of the U.S.-led coalition fighting Islamic State militants in Syria, the Pentagon said Thursday. ~CORRECTED (OFFICIAL)-U.S. approves sale of 'smart bomb' kits to Turkey WASHINGTON, Oct 29 The U.S. State Department has approved the sale of precision bomb kits valued at $70 million to Turkey, a member of NATO and a key part of the U.S.-led coalition fighting Islamic State militants in Syria, the Pentagon said Thursday. ~
SBUX.O,CORRECTED-UPDATE 3-Starbucks cafe sales hot, but holiday forecast disappoints Oct 29 Starbucks Corp delivered a disappointing profit forecast for this holiday quarter on the heels of strong cafe sales and profit growth, sending its shares down as much as 3 percent in after-hours trading. ~Starbucks quarterly cafe sales hotter than expected Oct 29 Starbucks Corp brewed up another quarter of cafe sales growth, fueled by strength in both the Americas and Asia. ~
TGT,UPDATE 2-Target to offer free U.S. shipping, strikes global shipping deal NEW YORK, Oct 29 Target Corp said it will drop shipping fees for all online orders during the holiday shopping season for a second year in a row, ratcheting up competition with rivals including Wal-Mart Stores Inc  and Amazon.com. ~Target to offer free U.S. shipping, strikes deal to ship products to 200 countries NEW YORK, Oct 29 Target Corp said it will offer free shipping for all online orders in the U.S. and has struck a new deal to ship products to 200 countries during the holidays. ~
DIS,UPDATE 2-Electronic Arts raises sales forecast for Star Wars' videogame * To sell 13 mln "Star Wars: Battlefront" units in fiscal 2016 ~Pro7 signs new deal with Disney, ups sales outlook FRANKFURT, Oct 29 German broadcaster ProSiebenSat.1 signed a new long-term deal with Disney, underpinning its popular offering that lifted its audience share to 30.1 percent, the highest it has achieved in a third quarter for 15 years. ~
UTX,UPDATE 1-Lockheed promotes Babione to head F-35 fighter jet program WASHINGTON, Oct 29 Lockheed Martin Corp  on Thursday said Jeff Babione would head the company's F-35 fighter jet program, the Pentagon's single largest arms project, effective Jan. 1. ~
WMT,UPDATE 1-Wal-Mart tweaks discount strategy for holiday season Oct 29 Wal-Mart Stores Inc said it would offer fewer "this weekend only" short-term deals during the holiday shopping season while discounting thousands of items for 90 days as it seeks to entice customers by being more consistent on pricing. ~Wal-Mart banks on in-store pickup, tweaks discount strategy for holiday season Oct 29 Wal-Mart Stores Inc said it has launched a new mobile application to reduce in-store pickup times for online orders during the holiday shopping season, focusing on an area where it believes it has an advantage over online rivals like Amazon.com. ~
