GOOGL.O,Google cancels staff meeting over fears of online harassment Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~UPDATE 1-Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google on Thursday canceled a company-wide meeting scheduled to discuss the controversy over a memo opposing company diversity policies, citing concerns about attacks on employees from far-right internet commenters, according to an email from Google's chief executive that was obtained by tech news site Recode. ~
GOOG.O,Google cancels staff meeting over fears of online harassment Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~UPDATE 1-Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google on Thursday canceled a company-wide meeting scheduled to discuss the controversy over a memo opposing company diversity policies, citing concerns about attacks on employees from far-right internet commenters, according to an email from Google's chief executive that was obtained by tech news site Recode. ~
AMZN.O,BRIEF-Amazon Studios closes overall deal with the Walking Dead creator Robert Kirkman and first-look deal with Skybound Entertainment * Amazon Studios closes overall deal with the Walking Dead creator Robert Kirkman and first-look deal with Skybound Entertainment ~
ANTM.N,Anthem to exit Obamacare market in Virginia next year Aug 11 U.S. health insurer Anthem Inc said on Friday it will exit Obamacare markets in Virginia and reduce its plan offerings in Washington and Scott counties and the city of Bristol next year. ~BRIEF-Anthem statement regarding individual market participation in Virginia * Anthem statement regarding individual market participation in Virginia ~
T,UPDATE 1-HBO offered $250,000 to hackers in bid to delay data release Aug 11 Time Warner Inc's HBO network last month offered $250,000 to cyber criminals who hacked into its computer system, asking them to extend a deadline for paying a much larger ransom, according to an email reviewed by Reuters. ~HBO offers $250,000 as 'bounty payment' to hackers - Variety Aug 11 The hackers behind HBO's recent data breach have leaked an email in which the U.S. cable channel offered them $250,000 as a  "bounty payment," Hollywood trade paper Variety reported on Thursday. ~
BLK,Third Point takes 1.6 mln share stake in BlackRock, 4.5 mln in Alibaba NEW YORK, Aug 11 Dan Loeb's Third Point took a 1.6 million-share stake in BlackRock Inc and reinitiated a stake in Alibaba Group Holding of 4.5 million shares during the second quarter ended June 30, according to regulatory filings late on Friday. ~BRIEF-Third Point LLC takes share stake in Blackrock Inc, Alexion Pharmaceuticals * Third Point LLC takes share stake of 1.6 million shares in Blackrock Inc - SEC filing‍​ ~
DISCA.O,Olympics-German broadcasters clinch Olympics rights deal with Discovery FRANKFURT, Aug 11 German state broadcasters ARD and ZDF have struck a deal with Discovery Communications for the right to show the Olympic Games from 2018 to 2024, after months of tough talks. ~BRIEF-Germany's ARD, ZDF sub-license Olympics right from Discovery * Says ARD, ZDF strike deal with Discovery Communications to broadcast Olympic Games from 2018-2024 Further company coverage: ~
M,CORRECTED-UPDATE 4-Macy's, Kohl's sales declines raise turnaround concerns * "Environment of intense, destructive competition"- Macy's CEO ~
MDLZ.O,Trian cuts Mondelez stake, ups GE holding -SEC filing NEW YORK, Aug 11 Trian Partners cut its stake in snack maker Mondelez International Inc. during the last quarter, and boosted its shares in conglomerate General Electric , according to the activist fund's latest securities filing. ~BRIEF-Trian Fund Management cuts share stake in Mondelez International * Trian Fund Management cuts share stake in Mondelez International Inc by 3.9 percent to 42.5 million shares - SEC filing ~
MON,Novozymes shares fall as Q2 pressured by detergent makers, Monsanto alliance COPENHAGEN, Aug 11 Danish enzymes maker Novozymes undershot market expectations in the second quarter pressured by cost cuts at detergent makers and a changed sales pattern in its cooperation with Monsanto. ~
MS,Morgan Stanley predicts euro parity with pound for 2018 LONDON U.S. investment bank Morgan Stanley raised its currency forecasts for the euro on Friday, predicting it would hit $1.25 early next year and be one-for-one versus Britain's pound for the first time in its 18-year history. ~Morgan Stanley predicts euro parity with pound for 2018 LONDON, Aug 11 U.S. investment bank Morgan Stanley raised its currency forecasts for the euro on Friday, predicting it would hit $1.25 early next year and be one-for-one versus Britain's pound for the first time in its 18-year history. ~
NFLX.O,UPDATE 1-Netflix discussing keeping Disney's Marvel, 'Star Wars' films LOS ANGELES, Aug 11 Netflix Inc is in "active discussions" with Walt Disney Co about keeping Marvel and "Star Wars" films after 2019, when new Disney and Pixar movies will stop appearing on the streaming service, a senior executive said late on Thursday. ~Netflix says in discussions with Disney over Marvel, 'Star Wars' films LOS ANGELES, Aug 11 Netflix Inc is in "active discussions" with Walt Disney Co about keeping Marvel and "Star Wars" films after 2019 when new Disney and Pixar movies will stop appearing on the streaming service, a senior Netflix executive said on Thursday. ~
JWN,UPDATE 3-J.C. Penney hits record low on wider loss, retail gloom Aug 11 J.C. Penney Co Inc's stock hit a life-low as sweeping store closures and a challenging retail environment drove the embattled department store chain to report a bigger-than-expected quarterly loss and took a toll on comparable sales. ~
NVDA.O,UPDATE 3-Nvidia shares fall on data center revenue but chips ride cryptocurrency boom Aug 10 Nvidia Corp's quarterly revenue in its widely watched data center and automotive businesses missed estimates, dragging down the chipmaker's shares that have nearly tripled in value over the past 12 months. ~
PXD,U.S. shale output poised to keep rising despite investor concerns HOUSTON, Aug 11 Shale production in the largest U.S. oilfield should rise by as much as 300,000 barrels per day by December, according to updated forecasts following the industry's latest quarterly results. ~
QCOM.O,Take Five: World markets themes for the week ahead LONDON Following are five big themes likely to dominate thinking of investors and traders in the coming week, and the Reuters stories related to them. ~
CRM,BRIEF-Third Point cuts share stake in Charter Communications, Sherwin-Williams * Third Point LLC cuts share stake in Charter Communications Inc by 37.5 percent to 500,000 Class A shares - SEC filing ~
DIS,Judge tosses former Disney workers' lawsuit over hiring of Indian nationals By Daniel Wiessner A federal judge in Florida has dismissed a proposed discrimination class action by former Disney World employees who say they were forced to train foreign replacements before being laid off. ~UPDATE 1-Netflix discussing keeping Disney's Marvel, 'Star Wars' films LOS ANGELES, Aug 11 Netflix Inc is in "active discussions" with Walt Disney Co about keeping Marvel and "Star Wars" films after 2019, when new Disney and Pixar movies will stop appearing on the streaming service, a senior executive said late on Thursday. ~Netflix says in discussions with Disney over Marvel, 'Star Wars' films LOS ANGELES, Aug 11 Netflix Inc is in "active discussions" with Walt Disney Co about keeping Marvel and "Star Wars" films after 2019 when new Disney and Pixar movies will stop appearing on the streaming service, a senior Netflix executive said on Thursday. ~
TWX,UPDATE 1-HBO offered $250,000 to hackers in bid to delay data release Aug 11 Time Warner Inc's HBO network last month offered $250,000 to cyber criminals who hacked into its computer system, asking them to extend a deadline for paying a much larger ransom, according to an email reviewed by Reuters. ~
